254015162771-0792         10044 
254016272772-0010         10014 
254017272772-0020         10016 
254018272772-0020         10017 
254021Q648D01871E         21898 
254033Q648D01972E         10072 
254034Q648D01972E         20085 
25403912345678901234567890123456
254054028171-0471         10094 
254055059284-0330         10467 
254056059284-0330         10468 
254057059284-8000         10188 
254065059284-0770         10194 
254069059284-0780         10144 
254070059284-0780         10145 
254071059284-0780         10146 
254072LU404Z373H01        10233 
254073LU404Z373H01        10234 
254074LU404Z373H01        10235 
254075028171-0471         10095 
254076FC601Lo             10233 
254077FC601Lo             10234 
254078FC601Lo             10235 
254079028531-6610         10012 
254080028531-6610         10011 
254081028531-6610         10013 
254082028531-6610         10014 
254083028531-6610         10015 
254084028531-6610         10016 
254085028531-6610         10017 
254086028531-6610         10018 
254087028531-6610         10019 
254088028531-6610         10020 
254089028531-6610         10021 
254090028531-6610         10022 
254091029141-0091         10093 
254092029141-0091         10094 
254093029141-0100         10146 
254094180631-0201         10014 
254097180631-0320         10471 
254098180631-0320         10472 
254099028531-6790         10003 
254100180631-0320         10473 
254101180631-0320         10474 
254103180631-0320         10475 
254104180631-0320         10476 
254106180631-0320         10477 
254107180631-0320         10478 
254109180631-0320         10479 
254112180631-0320         10480 
